PMT 40 : Orientation V : Layer 1 : Origin (0,652.5,3491.4) : Extent (-75→75, 1.5→1303.5, 3485.4→3491.4)
PMT 41 : Orientation V : Layer 1 : Origin (0,-652.5,3491.4) : Extent (-75→75, -1303.5→-1.5, 3485.4→3491.4)
PMT 42 : Orientation V : Layer 1 : Origin (153,652.5,3491.4) : Extent (78→228, 1.5→1303.5, 3485.4→3491.4)
PMT 43 : Orientation V : Layer 1 : Origin (153,-652.5,3491.4) : Extent (78→228, -1303.5→-1.5, 3485.4→3491.4)
PMT 44 : Orientation V : Layer 1 : Origin (306,652.5,3491.4) : Extent (231→381, 1.5→1303.5, 3485.4→3491.4)
PMT 45 : Orientation V : Layer 1 : Origin (306,-652.5,3491.4) : Extent (231→381, -1303.5→-1.5, 3485.4→3491.4)
PMT 46 : Orientation V : Layer 1 : Origin (459,652.5,3491.4) : Extent (384→534, 1.5→1303.5, 3485.4→3491.4)
PMT 47 : Orientation V : Layer 1 : Origin (459,-652.5,3491.4) : Extent (384→534, -1303.5→-1.5, 3485.4→3491.4)
PMT 48 : Orientation V : Layer 1 : Origin (612,652.5,3491.4) : Extent (537→687, 1.5→1303.5, 3485.4→3491.4)
PMT 49 : Orientation V : Layer 1 : Origin (612,-652.5,3491.4) : Extent (537→687, -1303.5→-1.5, 3485.4→3491.4)
PMT 50 : Orientation V : Layer 1 : Origin (765,652.5,3491.4) : Extent (690→840, 1.5→1303.5, 3485.4→3491.4)
PMT 51 : Orientation V : Layer 1 : Origin (765,-652.5,3491.4) : Extent (690→840, -1303.5→-1.5, 3485.4→3491.4)
PMT 52 : Orientation V : Layer 1 : Origin (918,652.5,3491.4) : Extent (843→993, 1.5→1303.5, 3485.4→3491.4)
PMT 53 : Orientation V : Layer 1 : Origin (918,-652.5,3491.4) : Extent (843→993, -1303.5→-1.5, 3485.4→3491.4)
PMT 54 : Orientation V : Layer 1 : Origin (1071,652.5,3491.4) : Extent (996→1146, 1.5→1303.5, 3485.4→3491.4)
PMT 55 : Orientation V : Layer 1 : Origin (1071,-652.5,3491.4) : Extent (996→1146, -1303.5→-1.5, 3485.4→3491.4)
PMT 56 : Orientation H : Layer 2 : Origin (737.5,-1218,3616) : Extent (1.5→1473.5, -1318→-1118, 3610→3616)
PMT 57 : Orientation H : Layer 2 : Origin (-737.5,-1218,3616) : Extent (-1473.5→-1.5, -1318→-1118, 3610→3616)
PMT 58 : Orientation H : Layer 2 : Origin (737.5,-1015,3616) : Extent (1.5→1473.5, -1115→-915, 3610→3616)
PMT 59 : Orientation H : Layer 2 : Origin (-737.5,-1015,3616) : Extent (-1473.5→-1.5, -1115→-915, 3610→3616)
PMT 60 : Orientation H : Layer 2 : Origin (737.5,-812,3616) : Extent (1.5→1473.5, -912→-712, 3610→3616)
PMT 61 : Orientation H : Layer 2 : Origin (-737.5,-812,3616) : Extent (-1473.5→-1.5, -912→-712, 3610→3616)
PMT 62 : Orientation H : Layer 2 : Origin (737.5,-609,3616) : Extent (1.5→1473.5, -709→-509, 3610→3616)
PMT 63 : Orientation H : Layer 2 : Origin (-737.5,-609,3616) : Extent (-1473.5→-1.5, -709→-509, 3610→3616)
PMT 64 : Orientation H : Layer 2 : Origin (737.5,-406,3616) : Extent (1.5→1473.5, -506→-306, 3610→3616)
PMT 65 : Orientation H : Layer 2 : Origin (-737.5,-406,3616) : Extent (-1473.5→-1.5, -506→-306, 3610→3616)
PMT 66 : Orientation H : Layer 2 : Origin (737.5,-203,3616) : Extent (1.5→1473.5, -303→-103, 3610→3616)
PMT 67 : Orientation H : Layer 2 : Origin (-737.5,-203,3616) : Extent (-1473.5→-1.5, -303→-103, 3610→3616)
PMT 68 : Orientation H : Layer 2 : Origin (737.5,0,3616) : Extent (1.5→1473.5, -100→100, 3610→3616)
